Borough,Ncode,Neighborhood,Latitude,Longitude,population density,population total,male,female,Median income,Median age
Bronx,BX40,Fordham South,40.8609968,-73.89642656,597576.77,26336,11876,14460,122945,30
Queens,QN25,Corona,40.74238175,-73.85682497,850345.96,54091,27524,26567,500159,36
Queens,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,40.55740129,-73.92551197,117415.416,29543,14356,15187,654845,47.9
Bronx,BX17,East Tremont,40.84269616,-73.88735618,765298.01,41871,18907,22964,248589,29.7
Brooklyn,BK64,Prospect Heights,40.67682226,-73.96485924,336479.12,20449,9720,10729,493713,34.4
Staten Island,SI05,New Springville-Bloomfield-Travis,40.59425238,-74.16496031,88863.93258,39517,18784,20733,846652,40.7
Staten Island,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,40.59706852,-74.11132882,86147.377,31931,15087,16844,611438,44
Brooklyn,BK83,Cypress Hills-City Line,40.67856996,-73.86797598,797781.07,47526,22721,24805,648452,33.2
Manhattan,MN50,Stuyvesant Town-Cooper Village,40.73099955,-73.9740517,206727.51,21864,9646,12218,196932,36.9
Bronx,BX33,Longwood,40.81509905,-73.8957882,331591.53,25542,11721,13821,102323,30.5
Brooklyn,BK88,Borough Park,40.63313051,-73.99049823,1560260.03,106203,54766,51437,1103775,28
Brooklyn,BK96,Rugby-Remsen Village,40.65557231,-73.92688213,816467.36,56277,25251,31026,895192,38.8
Queens,QN52,East Flushing,40.768452,-73.832764,358662.47,27943,13333,14610,713248,44.5
Queens,QN27,East Elmhurst,40.76407324,-73.86704148,300553.11,23070,12001,11069,446564,36.8
Queens,QN48,Auburndale,40.76172955,-73.79176244,129414.62,20684,10047,10637,481591,44.8
Bronx,BX44,Williamsbridge-Olinville,40.87137078,-73.86332362,978497.89,61503,27457,34046,845829,36.7
Queens,QN51,Murray Hill,40.74830308,-73.97833208,464172.831,51509,24824,26685,886570,43.7
Brooklyn,BK85,East New York (Pennsylvania Ave),40.6699257,-73.88069864,429098.54,29854,13076,16778,283190,34.1
Bronx,BX46,Parkchester,40.83793782,-73.85600311,498327.97,30376,14394,15982,237017,34.6
Queens,QN33,Cambria Heights,40.69277464,-73.73526874,224869.01,20212,9274,10938,1041587,40.7
Brooklyn,BK46,Ocean Parkway South,40.61305977,-73.96836678,286068.243,19541,9573,9968,457247,28
Manhattan,MN32,Yorkville,40.77592985,-73.94711784,1430534.42,77676,33428,44248,845466,37.1
Bronx,BX35,Morrisania-Melrose,40.81975437,-73.90942161,530614.12,37872,17261,20611,201923,30.5
Queens,QN07,Hollis,40.71124344,-73.75925009,227212.49,21520,9675,11845,586063,37.4
Queens,QN44,Glen Oaks-Floral Park-New Hyde Park,40.7494408,-73.71548119,67266.24,22427,10254,12173,372525,49
Queens,QN28,Jackson Heights,40.75198138,-73.88282109,1323557.98,105188,53569,51619,956384,36.5
Manhattan,MN09,Morningside Heights,40.80799974,-73.96389628,885025.472,54326,23401,30925,584877,29.6
Bronx,BX55,Soundview-Bruckner,40.8210122,-73.8657461,608956.73,35886,17126,18760,286087,32.1
Bronx,BX31,Allerton-Pelham Gardens,40.86296562,-73.84161195,331853.6,33404,16059,17345,740550,42.7
Brooklyn,BK44,Madison,40.6093777,-73.94841515,612464.38,40001,19269,20732,867590,40.7
Queens,QN71,Old Astoria,40.76850859,-73.91565374,372910.85,26470,13485,12985,383558,34.5
Manhattan,MN23,West Village,40.73443394,-74.00617998,1081846.26,67185,31731,35454,1543420,37.6
Bronx,BX62,Woodlawn-Wakefield,40.89470518,-73.84720052,458501.38,45805,20888,24917,795616,36.7
Brooklyn,BK28,Bensonhurst West,40.6110089,-73.99517998,1337126.99,86592,41882,44710,1154642,38.9
Staten Island,SI35,New Brighton-Silver Lake,40.64061456,-74.08701651,64727.82,18310,9334,8976,385105,42
Manhattan,MN15,Clinton,40.75910089,-73.99611936,531366.85,42931,22368,20563,475620,37.5
Queens,QN01,South Jamaica,40.69691125,-73.79042613,356282.67,36864,16880,19984,723238,34.9
Queens,QN46,Bayside-Bayside Hills,40.758556,-73.765434,306043.371,45522,21714,23808,1370116,45.4
Bronx,BX28,Van Cortlandt Village,40.900325,-73.870827,1001408.73,49715,22577,27138,407304,34.3
Brooklyn,BK76,Greenpoint,40.73020098,-73.95424093,376690.56,31522,15499,16023,768685,31.8
Bronx,BX39,Mott Haven-Port Morris,40.80166363,-73.91322139,803806.712,52132,25356,26776,292015,30.2
Bronx,BX13,Co-op City,40.87429419,-73.82993911,110145.57,44304,19239,25065,132948,42.6
Manhattan,MN03,Central Harlem North-Polo Grounds,40.81597607,-73.94321113,1415043.69,78193,36230,41963,561459,35
Brooklyn,BK19,Brighton Beach,40.57682507,-73.96509449,517644.31,31584,14495,17089,341212,44.6
Brooklyn,BK29,Bensonhurst East,40.6110089,-73.997695,920850.04,61066,30046,31020,771772,38.9
Queens,QN41,Fresh Meadows-Utopia,40.73350025,-73.79671678,68853.32,18177,8605,9572,318200,38.3
Bronx,BX59,Westchester-Unionport,40.8297743,-73.85053524,287616.081,27483,12736,14747,307537,34.5
Queens,QN18,Rego Park,40.72897409,-73.85782687,344342.46,27500,13096,14404,462214,43
